UserID,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
5250,Team Fortress 2,Counter-Strike Global Offensive,Left 4 Dead 2,Garry's Mod,Dota 2,The Elder Scrolls V Skyrim,Counter-Strike Source,Terraria,PAYDAY 2,Portal 2
76767,Team Fortress 2,Counter-Strike Global Offensive,The Elder Scrolls V Skyrim,Garry's Mod,Terraria,Left 4 Dead 2,Sid Meier's Civilization V,Dota 2,PAYDAY 2,Borderlands 2
86540,Portal,Sid Meier's Civilization V,Half-Life 2,Portal 2,Counter-Strike Global Offensive,Counter-Strike Source,Team Fortress 2,Left 4 Dead 2,The Elder Scrolls V Skyrim,Borderlands 2
229911,Call of Duty Modern Warfare 2 - Multiplayer,Day of Defeat Source,Counter-Strike,Counter-Strike Condition Zero,Half-Life 2 Deathmatch,Call of Duty Modern Warfare 2,Half-Life 2,Call of Duty Black Ops - Multiplayer,Half-Life 2 Episode Two,Call of Duty Black Ops
298950,Space Engineers,Middle-earth Shadow of Mordor,War Thunder,Spec Ops The Line,Elite Dangerous,Alan Wake,PlanetSide 2,Age of Empires III Complete Collection,Assassin's Creed IV Black Flag,Fallout 3 - Game of the Year Edition
547685,Counter-Strike,Counter-Strike Source,Counter-Strike Condition Zero,Team Fortress 2,Counter-Strike Global Offensive,Left 4 Dead 2,Garry's Mod,The Elder Scrolls V Skyrim,PAYDAY 2,Sid Meier's Civilization V
554278,Counter-Strike Source,Team Fortress 2,Counter-Strike Global Offensive,Left 4 Dead 2,Sid Meier's Civilization V,The Elder Scrolls V Skyrim,Garry's Mod,Dota 2,Portal 2,Call of Duty Modern Warfare 2 - Multiplayer
561758,Counter-Strike,Counter-Strike Condition Zero,Crysis 2 Maximum Edition,F.E.A.R. 3,GRID 2,Half-Life 2 Episode Two,Call of Duty Ghosts,Call of Duty Ghosts - Multiplayer,Mafia II,Tom Clancy's Splinter Cell Conviction
622362,Dota 2,Team Fortress 2,Counter-Strike Global Offensive,Garry's Mod,Left 4 Dead 2,The Elder Scrolls V Skyrim,Terraria,PAYDAY 2,Sid Meier's Civilization V,Borderlands 2
683019,Counter-Strike Source,Counter-Strike Global Offensive,Team Fortress 2,Left 4 Dead 2,Garry's Mod,The Elder Scrolls V Skyrim,Sid Meier's Civilization V,Terraria,PAYDAY 2,Borderlands 2
748719,Dota 2,Counter-Strike Source,Call of Duty Modern Warfare 2 - Multiplayer,Counter-Strike Global Offensive,Team Fortress 2,DayZ,Call of Duty Modern Warfare 2,Left 4 Dead 2,Rust,Garry's Mod
975449,Counter-Strike,Mafia II,The Walking Dead Season Two,Assassin's Creed IV Black Flag,Sniper Elite V2,Might & Magic Heroes VI,Counter-Strike Condition Zero,War of the Roses,Saints Row 2,Life Is Strange
994489,Team Fortress 2,Counter-Strike,Counter-Strike Global Offensive,Dota 2,Garry's Mod,Left 4 Dead 2,The Elder Scrolls V Skyrim,Terraria,PAYDAY 2,Sid Meier's Civilization V
1129452,Counter-Strike Condition Zero,Half-Life Source,Half-Life,Half-Life 2 Episode One,Day of Defeat,Zombie Panic Source,Half-Life Opposing Force,The Elder Scrolls IV Oblivion ,Sniper Elite,Counter-Strike Condition Zero Deleted Scenes
1612666,Grand Theft Auto V,Fallout New Vegas,BioShock Infinite,Grand Theft Auto IV,Dota 2,Sleeping Dogs,The Witcher 2 Assassins of Kings Enhanced Edition,Hitman Absolution,Just Cause 2,Counter-Strike Global Offensive
1936551,Euro Truck Simulator 2,Banished,Don't Starve,Pillars of Eternity,Counter-Strike Source,Rise of Nations Extended Edition,Tropico 4,Age of Empires III Complete Collection,Starbound,Dying Light
1950243,Banished,Company of Heroes (New Steam Version),Cities Skylines,Day of Defeat Source,Don't Starve,RIFT,Sanctum 2,Alien Swarm,Call of Duty Modern Warfare 2 - Multiplayer,"Warhammer 40,000 Dawn of War II"
2039434,Synergy,Alien Swarm,Killing Floor,Half-Life 2 Deathmatch,Insurgency Modern Infantry Combat,Call of Duty Modern Warfare 2,Zombie Panic Source,Call of Duty Modern Warfare 2 - Multiplayer,Left 4 Dead,Day of Defeat Source
2083767,Counter-Strike,Torchlight II,Football Manager 2014,Empire Total War,Sid Meier's Civilization V,Total War SHOGUN 2,Football Manager 2013,Napoleon Total War,XCOM Enemy Unknown,Total War ROME II - Emperor Edition
2110581,Killing Floor,Half-Life 2 Deathmatch,Left 4 Dead,Call of Duty 4 Modern Warfare,Dota 2,Day of Defeat Source,Left 4 Dead 2,Portal,Counter-Strike Source,Counter-Strike Global Offensive
2184507,Counter-Strike,Counter-Strike Condition Zero,Day of Defeat,Football Manager 2013,Napoleon Total War,Counter-Strike Condition Zero Deleted Scenes,Team Fortress 2,Rome Total War,Total War SHOGUN 2,Counter-Strike Global Offensive
2259650,Rocket League,Half-Life 2 Episode Two,Far Cry 3,Tomb Raider,The Sims(TM) 3,Grand Theft Auto IV,Portal,BioShock Infinite,Metro Last Light,Half-Life 2 Episode One
2531540,Call of Duty 4 Modern Warfare,Half-Life 2 Deathmatch,Killing Floor,Call of Duty Modern Warfare 2,Call of Duty Modern Warfare 2 - Multiplayer,Half-Life 2,Call of Duty Black Ops - Multiplayer,Portal,Counter-Strike,Serious Sam HD The First Encounter
2643609,Alien Swarm,Tom Clancy's Ghost Recon Phantoms - EU,Dota 2,Day of Defeat Source,Team Fortress 2,Left 4 Dead 2,Half-Life 2 Episode Two,Counter-Strike Global Offensive,Call of Duty Black Ops - Multiplayer,Call of Duty Modern Warfare 2 - Multiplayer
2753525,Call of Duty Modern Warfare 3 - Multiplayer,Call of Duty Modern Warfare 3,Call of Duty Black Ops - Multiplayer,RIFT,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Black Ops,Call of Duty Modern Warfare 2,Path of Exile,APB Reloaded,Portal 2
3449240,Age of Empires II HD Edition,Day of Defeat Source,Call of Duty Modern Warfare 2 - Multiplayer,Arma 3,Call of Duty Modern Warfare 2,Medieval II Total War Kingdoms,Rome Total War,Counter-Strike Condition Zero,Age of Empires III Complete Collection,Plants vs. Zombies Game of the Year
3450426,Half-Life,Half-Life 2 Deathmatch,Killing Floor,Half-Life 2,Half-Life 2 Episode One,Counter-Strike,Counter-Strike Source,Half-Life 2 Episode Two,Portal,Half-Life 2 Lost Coast
3527485,Half-Life 2 Episode Two,Team Fortress 2,Counter-Strike Global Offensive,Left 4 Dead 2,Counter-Strike Condition Zero,Half-Life 2 Episode One,Garry's Mod,Half-Life 2 Deathmatch,The Elder Scrolls V Skyrim,Counter-Strike
3783783,Dota 2,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 2,Counter-Strike,Team Fortress 2,Call of Duty Black Ops - Multiplayer,Counter-Strike Global Offensive,H1Z1,Call of Duty Black Ops,Left 4 Dead 2
