UserID,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
151603712,Farming Simulator 15,King's Bounty: Warriors of the North,The Legend of Heroes: Trails in the Sky,Fallout 3,Fallout 3: Game of the Year Edition,Meridian: New World,MASSIVE CHALICE,Hacknet,TIS-100,Infinifactory
59945701,Supreme Commander 2,Men of War: Vietnam,Company of Heroes 2,Stronghold Crusader 2,Rise of Nations: Extended Edition,King's Bounty: The Legend,Realms of Arkania 3 - Shadows over Riva Classic,FINAL FANTASY III,The Legend of Heroes: Trails in the Sky,FINAL FANTASY® XIII
53875128,Middle-earth™: Shadow of Mordor™,Call of Cthulhu®: Dark Corners of the Earth,Children of the Nile: Alexandria,Fieldrunners,Victoria II,Cities: Skylines,Anno 2205™,Stronghold HD,Grand Ages: Medieval,Majesty 2
140954425,Insurgency,Call to Arms,King Arthur's Gold,America's Army: Proving Grounds,Counter-Strike: Global Offensive,Synergy,Soldier Front 2,Counter-Strike Nexon: Zombies,Unturned,Killing Floor
26122540,PixelJunk™ Monsters Ultimate,Fight The Dragon,Magicka,Sacred 3,Orcs Must Die! 2,Full Mojo Rampage,How to Survive,Hero Siege,Castle Crashers®,Sacred Citadel
197278511,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
150128162,Insurgency,Call to Arms,King Arthur's Gold,America's Army: Proving Grounds,Counter-Strike: Global Offensive,Synergy,Soldier Front 2,Counter-Strike Nexon: Zombies,Unturned,Killing Floor
297811211,Insurgency,Survarium,Call to Arms,TOXIKK™,King Arthur's Gold,Fistful of Frags,Zombie Panic! Source,America's Army: Proving Grounds,Gotham City Impostors Free to Play,Counter-Strike: Global Offensive
76933274,Arma 3,Primal Carnage: Extinction,ORION: Prelude,Shadowgrounds Survivor,God Mode,Earth Defense Force: Insect Armageddon,Tom Clancy's Rainbow Six® Vegas 2,Alien Breed 3: Descent,Alien Breed 2: Assault,Alien Breed: Impact
218323237,RIFT,Star Trek Online,Champions Online,Royal Quest,Kingdom Wars,MapleStory,Neverwinter,Dragon Nest,Prime World,Warface
302186258,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
126340495,Farming Simulator 15,Viscera Cleanup Detail,Always Sometimes Monsters,Analogue: A Hate Story,Battle Islands,Rise of Flight United,Steel Ocean,Kingdom Wars,Jigoku Kisetsukan: Sense of the Seasons,Contraption Maker
194895541,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
170625356,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
167362888,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
208649703,,,,,,,,,,
225987202,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
195071563,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
308653033,Survarium,Call to Arms,TOXIKK™,Fistful of Frags,Zombie Panic! Source,America's Army: Proving Grounds,Gotham City Impostors Free to Play,Rust,Trove,Creativerse
144138643,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
97298878,Bejeweled® 3,The Escapists: The Walking Dead,SpaceChem,Shattered Planet,English Country Tune,Splice,Zen Bound 2,Solar 2,Lucid,Potatoman Seeks the Troof
173909336,,,,,,,,,,
198572546,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
219509107,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
202906503,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
92107940,Farming Simulator 15,Viscera Cleanup Detail,Construction Simulator 2015,Contraption Maker,Tabletop Simulator,Tower Wars,Insurgency,Robot Roller-Derby Disco Dodgeball,"Cook, Serve, Delicious!",Turbo Dismount™
251431515,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
233558010,,,,,,,,,,
99189757,Insurgency,Call to Arms,King Arthur's Gold,America's Army: Proving Grounds,Counter-Strike: Global Offensive,Synergy,Soldier Front 2,Counter-Strike Nexon: Zombies,Unturned,Killing Floor
30695285,Cossacks II: Napoleonic Wars,Cossacks II: Battle for Europe,Half-Life,STAR WARS™ Republic Commando™,Battlefield: Bad Company™ 2,Delta Force 2,Half-Life Deathmatch: Source,Ricochet,Team Fortress Classic,Deathmatch Classic
259648553,Fallout 4,Mars: War Logs,Sleeping Dogs,Just Cause™ 3,METAL GEAR SOLID V: GROUND ZEROES,Tomb Raider,METAL GEAR SOLID V: THE PHANTOM PAIN,The Bureau: XCOM Declassified,Red Faction Guerrilla Steam Edition,LOST PLANET® 3
201069271,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
48845802,Contagion,Resident Evil™ 5/ Biohazard 5®,Resident Evil 6 / Biohazard 6,Resident Evil Revelations / Biohazard Revelations,Portal 2,Call of Duty®: Ghosts,Half-Life,Killing Floor 2,QUAKE,Call of Duty®: Black Ops II
226212066,Farming Simulator 15,Viscera Cleanup Detail,Battle Islands,Fishing Planet,Steel Ocean,RIFT,Game Dev Tycoon,Contraption Maker,Tabletop Simulator,Viridi
221430493,RIFT,Star Trek Online,Kingdom Wars,Prime World,Warface,Dungeon Defenders II,AirBuccaneers,SMITE®,Counter-Strike: Global Offensive,Path of Exile
62923086,Cossacks II: Napoleonic Wars,Cossacks II: Battle for Europe,Half-Life,STAR WARS™ Republic Commando™,Battlefield: Bad Company™ 2,Delta Force 2,Half-Life Deathmatch: Source,Ricochet,Team Fortress Classic,Deathmatch Classic
250006052,GRID 2,GRID Autosport,F1 2015,F1 2014,MotoGP™14,DiRT Rally,F1 2012™,Assetto Corsa,Urban Trial Freestyle,Absolute Drift
