UserID,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
151603712,Victoria II,Company of Heroes 2,Sid Meier's Civilization® V,Total War™: ROME II - Emperor Edition,Sid Meier's Civilization IV: Colonization,Supreme Commander: Forged Alliance,Wargame: Red Dragon,Total War: ATTILA,Total War: SHOGUN 2,Sid Meier's Civilization®: Beyond Earth™
59945701,Recettear: An Item Shop's Tale,Breath of Death VII,Avadon: The Black Fortress,The Witcher 2: Assassins of Kings Enhanced Edition,FINAL FANTASY VIII,FINAL FANTASY® XIII,Dragon Age: Origins - Ultimate Edition,The Witcher® 3: Wild Hunt,Fallout 4,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™
53875128,Avernum: Escape From the Pit,Bejeweled® 3,Victoria II,Total War™: ROME II - Emperor Edition,Total War: ATTILA,Sid Meier's Civilization® V,Total War: SHOGUN 2,Supreme Commander: Forged Alliance,Company of Heroes 2,Sid Meier's Civilization®: Beyond Earth™
140954425,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,Codename CURE,NEOTOKYO,Soldier Front 2,America's Army: Proving Grounds,Batla,
26122540,Star Trek Online,RIFT,EverQuest II,Champions Online,ArcheAge,Royal Quest,Red Stone Online,MapleStory,Neverwinter,Defiance
197278511,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
150128162,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,Codename CURE,NEOTOKYO,Soldier Front 2,America's Army: Proving Grounds,Batla,
297811211,Batla,Warframe,America's Army: Proving Grounds,Soldier Front 2,NEOTOKYO,Codename CURE,Gotham City Impostors Free to Play,Synergy,Counter-Strike: Global Offensive,Portal
76933274,The Jackbox Party Pack 2,Insurgency,HOARD,Yet Another Zombie Defense,Swords and Soldiers HD,The Culling Of The Cows,Starlaxis Supernova Edition,ROCKETSROCKETSROCKETS,Demolition Inc.,You Must Build A Boat
218323237,Total War Battles: KINGDOM,Magic Duels,Neverwinter,Verdun,Gunpoint,Kingdom Rush,"Invisible, Inc.",Reassembly,Infested Planet,Natural Selection 2
302186258,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
126340495,Poly Bridge,Euro Truck Simulator 2,Viscera Cleanup Detail: Santa's Rampage,SpaceChem,Kerbal Space Program,Five Nights at Freddy's,Infinifactory,TIS-100,Hacknet,AudioSurf
194895541,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
170625356,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
167362888,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
208649703,,,,,,,,,,
225987202,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
195071563,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
308653033,Portal,Counter-Strike: Source,The Evil Within,BioShock Infinite,Ori and the Blind Forest,Call of Duty®: Modern Warfare® 3,Call of Duty®: Black Ops II,Call of Duty: World at War,Killing Floor 2,Call of Duty®: Modern Warfare® 2
144138643,Magic Duels,Total War Battles: KINGDOM,Toribash,SMITE®,Team Fortress 2,Warframe,Counter-Strike: Global Offensive,Synergy,Gotham City Impostors Free to Play,CroNix
